npn,municipio,direccion,ficha
050880100110600040015901041082,BELLO,CR 45 N 26-162 AP 424 ED 3,159430
050880100110600040015901041448,BELLO,CR 45 N 26-162 AP 425 ED 4,13198992
050880100110600040015901041450,BELLO,CR 45 N 26-162 AP 427 ED 4,13198996
050880100110600040015901051459,BELLO,CR 45 N 26-162 AP 528 ED 4,13199014
050880100110600040015901060933,BELLO,CR 45 N 26-162 AP 609 ED 2,159281
050880100110600040015901070723,BELLO,CR 45 N 26-162 AP 703 ED 1,3340880
050880100110600040015901071104,BELLO,CR 45 N 26-162 AP 722 ED 3,159452
050880100110600040015901080736,BELLO,CR 45 N 26-162 AP 808 ED 1,3340893
050880100110600040015901100230,BELLO,CR 45 N 26-162 AP 1038 ED 5,3333593
050880100110600040015901110975,BELLO,CR 45 N 26-162 AP 1111 ED 2,159323
050880100110600040015901120090,BELLO,CR 45 N 26-162 PI12 AP 1242 ED 6,3324090
050880100110600040015901120091,BELLO,CR 45 N 26-162 PI12 AP 1243 ED 6,3324091
050790001000000150284000000000,BARBOSA,S.N,3016465
050790001000000010137000000000,BARBOSA,LOS GUADUALES,3007558
050790001000000010138000000000,BARBOSA,S.N.,3007559
050790001000000010139000000000,BARBOSA,S.N.,3007561
050790001000000190124000000000,BARBOSA,S.N,3013069
050880100110600040015901120095,BELLO,CR 45 N 26-162 PI12 AP 1247 ED 6,3324095
050880100110600040015901130098,BELLO,CR 45 N 26-162 PI13 AP 1342 ED 6,3324098
050880100110600040015901131148,BELLO,CR 45 N 26-162 AP 1318 ED 3,159496
050790001000000190122000000000,BARBOSA,VISTA ALEGRE,3013067
050790001000000190122000000000,BARBOSA,VISTA ALEGRE,3013067
050790001000000010141000000000,BARBOSA,GRANO DE ORO,3007564
050790001000000010141000000000,BARBOSA,GRANO DE ORO,3007564
050790001000000010142000000000,BARBOSA,S.N.,3007565
050790001000000010143000000000,BARBOSA,LA  PLAYITA,3007566
050880100110600040015901131527,BELLO,CR 45 N 26-162 AP 1332 ED 4,13199150
050880100110600040015901141162,BELLO,CR 45 N 26-162 AP 1424 ED 3,159510
050880100110600040015901150119,BELLO,CR 45 N 26-162 PI15 AP 1547 ED 6,3324119
050790001000000010144000000000,BARBOSA,S.N.,3007567
050790001000000170012000000000,BARBOSA,MALABRIGO,3005103
050790001000000190318000000000,BARBOSA,EL MIRADOR,3013303
050790001000000010146000000000,BARBOSA,LA PLAYA,3007569
050790001000000010146000000000,BARBOSA,LA PLAYA,3007569
050790001000000010147000000000,BARBOSA,S.N.,3007570
050790001000000010150000000000,BARBOSA,S.N.,3007573
050790001000000010150000000000,BARBOSA,S.N.,3007573
050790001000000010151000000000,BARBOSA,S.N.,3007574
050790001000000010154000000000,BARBOSA,S.N.,3007577
050790001000000010156000000000,BARBOSA,S.N.,3015925
050790001000000010156000000000,BARBOSA,S.N.,3015925
050790001000000010157000000000,BARBOSA,S.N.,3015928
050880100110600040015901160276,BELLO,CR 45 N 26-162 AP 1636 ED 5,3333639
050880100110600040015901161017,BELLO,CR 45 N 26-162 AP 1613 ED 2,159365
050790001000000170049000000000,BARBOSA,LAS PEÑAS,3005147
050790001000000170049000000000,BARBOSA,LAS PEÑAS,3005147
050790001000000010158000000000,BARBOSA,S.N.,3015929
050790001000000010162000000000,BARBOSA,S.N.,3016559
050790001000000010166000000000,BARBOSA,EL OSO,12257635
